WKT,NAME,SpeciesName,Date,NameDate,URL
"MULTIPOINT ((153.23386 -28.28872))",Koala,"Phascolarctos cinereus (Goldfuss, 1817)",2018-10-14T00:00:00.000,Koala 2018-10-14T00:00:00,https://wildlife.org.au/koala/
"MULTIPOINT ((152.92825 -27.88629))",Koala,"Phascolarctos cinereus (Goldfuss, 1817)",2018-11-03T15:01:00.000,Koala 2018-11-03T15:01:00,https://wildlife.org.au/koala/
"MULTIPOINT ((153.1877 -28.19134))",Koala,"Phascolarctos cinereus (Goldfuss, 1817)",2018-11-30T00:08:00.000,Koala 2018-11-30T00:08:00,https://wildlife.org.au/koala/
"MULTIPOINT ((152.6977 -28.25063))",Koala,"Phascolarctos cinereus (Goldfuss, 1817)",2018-11-09T00:00:00.000,Koala 2018-11-09T00:00:00,https://wildlife.org.au/koala/
"MULTIPOINT ((152.9 -27.9))",Koala,"Phascolarctos cinereus (Goldfuss, 1817)",2018-11-03T00:00:00.000,Koala 2018-11-03T00:00:00,https://wildlife.org.au/koala/
"MULTIPOINT ((152.8588 -28.10436))",Koala,"Phascolarctos cinereus (Goldfuss, 1817)",2018-12-29T00:00:00.000,Koala 2018-12-29T00:00:00,https://wildlife.org.au/koala/
"MULTIPOINT ((153.16152 -27.84878))",Koala,"Phascolarctos cinereus (Goldfuss, 1817)",2018-12-19T00:00:00.000,Koala 2018-12-19T00:00:00,https://wildlife.org.au/koala/
"MULTIPOINT ((153.18995 -28.28893))",Koala,"Phascolarctos cinereus (Goldfuss, 1817)",2017-03-05T00:00:00.000,Koala 2017-03-05T00:00:00,https://wildlife.org.au/koala/
"MULTIPOINT ((152.65075 -28.24605))",Koala,"Phascolarctos cinereus (Goldfuss, 1817)",2017-05-16T00:00:00.000,Koala 2017-05-16T00:00:00,https://wildlife.org.au/koala/
"MULTIPOINT ((153.23394 -27.9286))",Koala,"Phascolarctos cinereus (Goldfuss, 1817)",2017-06-01T00:00:00.000,Koala 2017-06-01T00:00:00,https://wildlife.org.au/koala/
"MULTIPOINT ((153.1 -27.8))",Koala,"Phascolarctos cinereus (Goldfuss, 1817)",2017-08-19T00:00:00.000,Koala 2017-08-19T00:00:00,https://wildlife.org.au/koala/
"MULTIPOINT ((153.15866 -27.7699))",Koala,"Phascolarctos cinereus (Goldfuss, 1817)",2017-08-19T15:47:00.000,Koala 2017-08-19T15:47:00,https://wildlife.org.au/koala/
"MULTIPOINT ((153.23334 -28.34147))",Koala,"Phascolarctos cinereus (Goldfuss, 1817)",2017-09-22T00:00:00.000,Koala 2017-09-22T00:00:00,https://wildlife.org.au/koala/
"MULTIPOINT ((153.24848 -28.33849))",Koala,"Phascolarctos cinereus (Goldfuss, 1817)",2017-09-27T00:00:00.000,Koala 2017-09-27T00:00:00,https://wildlife.org.au/koala/
"MULTIPOINT ((153.18416 -28.19269))",Koala,"Phascolarctos cinereus (Goldfuss, 1817)",2017-09-24T00:00:00.000,Koala 2017-09-24T00:00:00,https://wildlife.org.au/koala/
"MULTIPOINT ((153.18072 -27.93329))",Koala,"Phascolarctos cinereus (Goldfuss, 1817)",2017-10-16T00:00:00.000,Koala 2017-10-16T00:00:00,https://wildlife.org.au/koala/
"MULTIPOINT ((152.4 -28.1))",Koala,"Phascolarctos cinereus (Goldfuss, 1817)",2017-10-22T00:00:00.000,Koala 2017-10-22T00:00:00,https://wildlife.org.au/koala/
"MULTIPOINT ((153.23334 -28.34144))",Koala,"Phascolarctos cinereus (Goldfuss, 1817)",2017-10-28T00:00:00.000,Koala 2017-10-28T00:00:00,https://wildlife.org.au/koala/
"MULTIPOINT ((153.23273 -28.34175))",Koala,"Phascolarctos cinereus (Goldfuss, 1817)",2017-10-18T00:00:00.000,Koala 2017-10-18T00:00:00,https://wildlife.org.au/koala/
